"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Domicílio, espécie";"Domicílio, espécie (código)";"Domicílio, espécie (ordem)";"Moradores, número (operação: Soma)";"Frequência";"Observações"
"9115";"Município (1991)";"250040";"Alagoa Nova";"78";"1991";"8004";"1991";"Particular permanente";"1";"1";"22.278";"4712";"4712"
"9115";"Município (1991)";"250050";"Alagoinha";"79";"1991";"8004";"1991";"Particular permanente";"1";"1";"11.010";"2323";"2323"
"9115";"Município (1991)";"260060";"Alagoinha";"80";"1991";"8004";"1991";"Particular permanente";"1";"1";"11.037";"2594";"2594"
"9115";"Município (1991)";"220025";"Alagoinha do Piauí";"81";"1991";"8004";"1991";"Particular permanente";"1";"1";"8.068";"1727";"1727"
"9115";"Município (1991)";"290070";"Alagoinhas";"82";"1991";"8004";"1991";"Particular permanente";"1";"1";"116.436";"24904";"24904"
"9115";"Município (1991)";"310140";"Albertina";"83";"1991";"8004";"1991";"Particular permanente";"1";"1";"2.438";"601";"601"
"9115";"Município (1991)";"210020";"Alcântara";"84";"1991";"8004";"1991";"Particular permanente";"1";"1";"19.544";"4138";"4138"
"9115";"Município (1991)";"230050";"Alcântaras";"85";"1991";"8004";"1991";"Particular permanente";"1";"1";"8.595";"1839";"1839"
"9115";"Município (1991)";"290080";"Alcobaça";"86";"1991";"8004";"1991";"Particular permanente";"1";"1";"15.290";"3132";"3132"
"9115";"Município (1991)";"210030";"Aldeias Altas";"87";"1991";"8004";"1991";"Particular permanente";"1";"1";"19.469";"4011";"4011"
"9115";"Município (1991)";"430030";"Alecrim";"88";"1991";"8004";"1991";"Particular permanente";"1";"1";"10.361";"2561";"2561"
"9115";"Município (1991)";"320020";"Alegre";"89";"1991";"8004";"1991";"Particular permanente";"1";"1";"30.263";"7357";"7357"
"9115";"Município (1991)";"430040";"Alegrete";"90";"1991";"8004";"1991";"Particular permanente";"1";"1";"78.588";"20717";"20717"
"9115";"Município (1991)";"430045";"Alegria";"91";"1991";"8004";"1991";"Particular permanente";"1";"1";"6.239";"1603";"1603"
