"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Domicílio, espécie";"Domicílio, espécie (código)";"Domicílio, espécie (ordem)";"Frequência";"Observações"
"9115";"Município (1991)";"500190";"Bataguassu";"467";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2840";"2840"
"9115";"Município (1991)";"500200";"Bataiporã";"468";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1877";"1877"
"9115";"Município (1991)";"220150";"Batalha";"469";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4323";"4323"
"9115";"Município (1991)";"270070";"Batalha";"470";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2737";"2737"
"9115";"Município (1991)";"350590";"Batatais";"471";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"11578";"11578"
"9115";"Município (1991)";"230210";"Baturité";"472";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"5703";"5703"
"9115";"Município (1991)";"350600";"Bauru";"473";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"67991";"67991"
"9115";"Município (1991)";"250180";"Bayeux";"474";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"16717";"16717"
"9115";"Município (1991)";"350610";"Bebedouro";"475";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"17165";"17165"
"9115";"Município (1991)";"230220";"Beberibe";"476";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"7636";"7636"
"9115";"Município (1991)";"230230";"Bela Cruz";"477";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4945";"4945"
"9115";"Município (1991)";"500210";"Bela Vista";"478";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4364";"4364"
"9115";"Município (1991)";"520330";"Bela Vista de Goiás";"479";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4497";"4497"
"9115";"Município (1991)";"310600";"Bela Vista de Minas";"480";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2093";"2093"
"9115";"Município (1991)";"410280";"Bela Vista do Paraíso";"481";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3757";"3757"
"9115";"Município (1991)";"150140";"Belém";"482";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"255902";"255902"
"9115";"Município (1991)";"250190";"Belém";"483";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3570";"3570"
"9115";"Município (1991)";"270080";"Belém";"484";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1297";"1297"
"9115";"Município (1991)";"260150";"Belém de Maria";"485";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2623";"2623"
"9115";"Município (1991)";"260160";"Belém de São Francisco";"486";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4453";"4453"
"9115";"Município (1991)";"250200";"Belém do Brejo do Cruz";"487";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1601";"1601"
"9115";"Município (1991)";"310610";"Belmiro Braga";"488";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"958";"958"
"9115";"Município (1991)";"290340";"Belmonte";"489";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4968";"4968"
"9115";"Município (1991)";"290350";"Belo Campo";"490";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2906";"2906"
"9115";"Município (1991)";"310620";"Belo Horizonte";"491";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"499958";"499958"
"9115";"Município (1991)";"260170";"Belo Jardim";"492";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"14570";"14570"
"9115";"Município (1991)";"270090";"Belo Monte";"493";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1362";"1362"
"9115";"Município (1991)";"310630";"Belo Oriente";"494";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3524";"3524"
"9115";"Município (1991)";"310640";"Belo Vale";"495";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1725";"1725"
"9115";"Município (1991)";"220160";"Beneditinos";"496";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2592";"2592"
"9115";"Município (1991)";"210180";"Benedito Leite";"497";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1884";"1884"
"9115";"Município (1991)";"420220";"Benedito Novo";"498";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2053";"2053"
"9115";"Município (1991)";"150150";"Benevides";"499";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"13780";"13780"
"9115";"Município (1991)";"130060";"Benjamin Constant";"500";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2737";"2737"
"9115";"Município (1991)";"350620";"Bento de Abreu";"501";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"577";"577"
"9115";"Município (1991)";"240160";"Bento Fernandes";"502";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"909";"909"
"9115";"Município (1991)";"430210";"Bento Gonçalves";"503";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"20897";"20897"
"9115";"Município (1991)";"210190";"Bequimão";"504";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4556";"4556"
"9115";"Município (1991)";"310650";"Berilo";"505";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3375";"3375"
"9115";"Município (1991)";"350630";"Bernardino de Campos";"506";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2619";"2619"
"9115";"Município (1991)";"170320";"Bernardo Sayão";"507";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"928";"928"
"9115";"Município (1991)";"220170";"Bertolínia";"508";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1703";"1703"
"9115";"Município (1991)";"310660";"Bertópolis";"509";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2136";"2136"
"9115";"Município (1991)";"130063";"Beruri";"510";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1186";"1186"
"9115";"Município (1991)";"260180";"Betânia";"511";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2353";"2353"
"9115";"Município (1991)";"310670";"Betim";"512";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"38309";"38309"
"9115";"Município (1991)";"260190";"Bezerros";"513";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"13277";"13277"
"9115";"Município (1991)";"310680";"Bias Fortes";"514";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1109";"1109"
"9115";"Município (1991)";"310690";"Bicas";"515";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2959";"2959"
"9115";"Município (1991)";"420230";"Biguaçu";"516";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"8368";"8368"
"9115";"Município (1991)";"350640";"Bilac";"517";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1422";"1422"
