cod_mun;mun;uf;dppo 1991;dppo 1996;dppo 2000;dppo 2010;dppo 2022;Particular 2022;Particular permanente 2022;Particular permanente não ocupado 2022
1300201;Atalaia do Norte;AM;1322;1480;1709;2892;3390;3938;3938;548
1300300;Autazes;AM;2903;4975;4714;6955;11007;15523;15519;4512
1300409;Barcelos;AM;2129;3211;4249;4735;4253;5415;5394;1141
1300508;Barreirinha;AM;2719;3297;3872;5172;6895;9078;9073;2178
1300607;Benjamin Constant;AM;2737;3820;3920;5986;7742;9056;9055;1313
1300631;Beruri;AM;1186;1478;1851;2887;4556;6038;6034;1478
1300680;Boa Vista do Ramos;AM;1271;1482;1843;2752;4594;4838;4835;241
1300706;Boca do Acre;AM;4703;4853;5577;7157;10162;12630;12618;2456
1300805;Borba;AM;2990;3865;4805;6663;7986;10312;10308;2322
1300839;Caapiranga;AM;1104;1229;1484;2230;2967;3192;3188;221
1300904;Canutama;AM;2032;1446;1959;2956;4552;5871;5870;1318
1301001;Carauari;AM;3410;3751;4318;5251;7241;8177;8175;934
1301100;Careiro;AM;4764;4503;5475;7387;9067;13391;13382;4315
1301159;Careiro da Várzea;AM;3462;3529;3779;5760;5780;7710;7704;1924
1301209;Coari;AM;6794;8906;10775;15213;17564;21266;21250;3686
1301308;Codajás;AM;2369;2501;3031;4491;5571;6634;6629;1058
1301407;Eirunepé;AM;3486;4489;4735;6265;8130;9667;9659;1529
1301506;Envira;AM;2367;3185;3054;3206;4185;4852;4848;663
1301605;Fonte Boa;AM;2464;3164;4553;3907;5345;6021;6011;666
1301654;Guajará;AM;1997;1991;2173;2659;3611;4417;4415;804
1301704;Humaitá;AM;6243;4630;6192;9856;14416;16542;16517;2101
1301803;Ipixuna;AM;1671;1958;2328;3722;4806;5125;5108;302
1301852;Iranduba;AM;3547;5368;5975;9824;17757;29185;29130;11373
1301902;Itacoatiara;AM;10138;11959;14375;19910;27664;35079;35019;7355
1301951;Itamarati;AM;1434;1409;1390;1572;2333;2807;2806;473
1302009;Itapiranga;AM;975;1107;1316;1778;2599;3396;3392;793
1302108;Japurá;AM;1366;1127;1659;1269;1735;2164;2159;424
1302207;Juruá;AM;814;849;1308;2049;2529;3233;3233;704
1302306;Jutaí;AM;2312;2990;3286;3177;4845;5563;5560;715
1302405;Lábrea;AM;5333;5012;5394;8151;11269;13443;13434;2165
1302504;Manacapuru;AM;9606;11942;13774;18207;26883;34933;34915;8032
1302553;Manaquiri;AM;1927;3164;2624;4885;4956;6873;6869;1913
1302603;Manaus;AM;205997;256159;328028;461483;630062;737542;737027;106965
1302702;Manicoré;AM;5899;6360;6960;9564;12170;14215;14192;2022
1302801;Maraã;AM;1821;2305;2614;2799;3021;3815;3810;789
1302900;Maués;AM;5218;6551;7251;10036;13271;15804;15781;2510
1303007;Nhamundá;AM;2153;2494;2559;3794;4570;5491;5484;914
