cod_mun;mun;uf;AVG MDPPO 1991;AVG MDPPO 1996;AVG MPPO 2000;AVG MDPPO 2007;AVG MDPPO 2010;AVG MDPPO 2022;MDPPO 1991;MDPPO 1996;MPPO 2000;MDPPO 2007;MDPPO 2010;MDPPO 2022;DPPO 1991;DPPO 1996;DPPO 2000;DPPO 2007;DPPO 2010;DPPO 2022;DPP 2022;DPPV 2022;DPPUO 2022
1504406;Marapanim;PA;5,18;4,85;4,61;4,19;3,96;3,16;19843;22234;24127;26579;26516;26496;3834;4583;5234;6345;6701;8375;14368;1546;4447
1504422;Marituba;PA;;;4,33;3,74;3,94;3,08;;;73640;93090;107843;110593;;;17026;24922;27357;35884;45891;7682;2325
1504455;Medicilândia;PA;5,18;5,16;4,43;3,76;3,69;3,02;29408;30858;20596;22392;27135;27027;5673;5975;4648;5957;7348;8955;12369;1851;1563
1504505;Melgaço;PA;5,96;5,66;6,21;5,59;6,11;4,85;14295;15255;20785;17716;24745;27714;2397;2693;3347;3170;4049;5715;6174;287;172
1504604;Mocajuba;PA;6,11;5,72;5,72;5,15;4,98;3,96;18428;18741;20460;23211;26642;27120;3014;3274;3577;4504;5352;6854;8397;856;687
1504703;Moju;PA;5,58;5,34;5,40;4,72;4,47;3,35;44237;45257;52270;63332;69488;83890;7930;8479;9680;13431;15538;25016;29909;2942;1951
1504752;Mojuí dos Campos;PA;;;;;;3,14;;;;;;23482;;;;;;7478;9903;1387;1038
1504802;Monte Alegre;PA;5,29;4,96;4,80;4,27;4,03;3,27;46728;49334;61148;61049;55306;59946;8827;9945;12746;14306;13725;18315;24569;3480;2774
1504901;Muaná;PA;5,84;5,60;5,48;4,97;4,86;4,25;22296;23381;25263;28672;34167;45181;3815;4175;4613;5768;7028;10636;12657;1115;906
1504950;Nova Esperança do Piriá;PA;;5,50;5,28;4,78;4,30;3,39;;15601;18225;22197;20099;20437;;2838;3451;4641;4674;6025;7894;1162;707
1504976;Nova Ipixuna;PA;;;4,44;4,09;3,86;3,04;;;11809;14028;14589;13903;;;2657;3434;3778;4571;6133;908;654
1505007;Nova Timboteua;PA;4,75;5,05;4,33;3,83;3,74;2,80;9418;13692;11406;12085;13626;12772;1983;2712;2634;3157;3647;4560;5730;696;474
1505031;Novo Progresso;PA;;5,17;5,04;3,45;3,61;3,20;;14647;21738;21509;24983;33474;;2832;4314;6242;6923;10452;13783;1529;1802
1505064;Novo Repartimento;PA;;4,88;4,76;4,20;4,08;3,27;;29552;40674;51416;61696;60607;;6051;8545;12236;15139;18530;26171;4624;3017
