cod_mun;mun;uf;AVG MDPPO 1991;AVG MDPPO 1996;AVG MPPO 2000;AVG MDPPO 2007;AVG MDPPO 2010;AVG MDPPO 2022;MDPPO 1991;MDPPO 1996;MPPO 2000;MDPPO 2007;MDPPO 2010;MDPPO 2022;DPPO 1991;DPPO 1996;DPPO 2000;DPPO 2007;DPPO 2010;DPPO 2022;DPP 2022;DPPV 2022;DPPUO 2022
2301406;Aratuba;CE;4,96;4,89;4,69;4,17;3,95;3,13;10548;11523;11856;12048;11473;11217;2128;2358;2527;2889;2904;3579;4845;768;498
2301505;Arneiroz;CE;5,21;4,71;4,47;3,77;3,63;2,85;7384;7105;7464;7283;7624;7408;1417;1508;1669;1932;2101;2599;3479;626;254
2301604;Assaré;CE;4,46;4,20;4,09;3,76;3,50;2,80;19503;19028;20760;21525;22398;21651;4369;4527;5075;5719;6398;7745;10674;2297;632
2301703;Aurora;CE;4,71;4,34;4,17;3,65;3,46;2,81;24387;24458;25194;24370;24523;23699;5181;5635;6040;6670;7097;8422;11316;2180;714
2301802;Baixio;CE;4,81;4,84;4,29;3,65;3,51;2,84;5406;5992;5801;5765;6004;5702;1123;1237;1351;1581;1712;2011;2555;410;134
2301851;Banabuiú;CE;4,71;4,54;4,50;3,98;3,78;3,07;14331;15044;16055;17410;17297;17166;3040;3316;3567;4379;4580;5585;6932;912;435
2301901;Barbalha;CE;5,07;4,72;4,48;4,00;3,76;3,11;38232;43187;46878;50333;55254;74962;7546;9155;10473;12592;14682;24142;29501;3946;1413
2301950;Barreira;CE;4,67;4,38;4,16;3,71;3,53;2,96;14711;16918;16929;18388;19545;22385;3150;3864;4073;4963;5533;7572;9933;1788;573
2302008;Barro;CE;4,96;4,46;4,18;3,71;3,52;2,79;19303;19475;19996;20640;21479;19377;3894;4371;4779;5559;6097;6946;9067;1694;427
2302057;Barroquinha;CE;5,06;4,99;4,65;4,22;3,92;3,06;12900;12983;13875;14779;14421;14558;2547;2601;2983;3500;3682;4755;6692;1457;480
2302107;Baturité;CE;4,74;4,49;4,23;3,82;3,63;2,97;27049;29391;29749;31537;33238;35187;5703;6551;7032;8256;9161;11850;14889;2144;895
2302206;Beberibe;CE;4,76;4,45;4,23;3,75;3,49;2,91;36367;37973;42138;45962;49194;53025;7636;8539;9967;12270;14079;18251;28298;4409;5638
2302305;Bela Cruz;CE;5,24;4,89;4,65;4,09;3,84;2,97;25910;27759;28318;29462;30781;32731;4945;5676;6095;7209;8022;11009;13115;1643;463
2302404;Boa Viagem;CE;4,56;4,29;4,13;3,70;3,46;2,79;47879;47654;50192;53386;52385;50355;10493;11100;12147;14440;15152;18079;24709;5351;1279
2302503;Brejo Santo;CE;4,82;4,53;4,33;3,78;3,73;3,00;33669;34792;38385;39589;45162;51050;6992;7677;8857;10464;12121;17032;19045;1219;794
2302602;Camocim;CE;5,08;4,77;4,58;4,05;3,83;3,06;50800;51322;55114;58110;59984;62273;9991;10757;12046;14351;15664;20367;25534;3826;1341
2302701;Campos Sales;CE;4,61;4,23;4,14;3,68;3,48;2,80;23225;23929;25501;25501;26478;25083;5040;5652;6160;6925;7612;8972;12649;2886;791
2302800;Canindé;CE;4,77;4,54;4,40;3,93;3,72;2,93;61499;64943;69256;73439;74274;74036;12900;14309;15724;18680;19950;25279;33560;6240;2041
2302909;Capistrano;CE;5,04;4,71;4,47;3,96;3,71;2,92;15501;15486;15774;16341;17039;17250;3074;3290;3527;4125;4589;5914;7637;1282;441
2303006;Caridade;CE;4,86;4,69;4,42;4,05;3,82;3,06;12416;13797;15543;17927;19987;16369;2553;2943;3517;4424;5233;5354;7249;1388;507
2303105;Cariré;CE;4,61;4,44;4,31;3,79;3,59;2,87;17730;18218;18488;18464;18323;17620;3850;4103;4293;4878;5102;6137;8098;1479;482
2303204;Caririaçu;CE;5,00;4,75;4,54;3,99;3,73;2,98;21295;23357;25673;26265;26377;26303;4255;4915;5653;6577;7069;8814;12597;2798;985
2303303;Cariús;CE;4,33;4,14;3,98;3,54;3,35;2,71;17567;17458;18434;18614;18534;17015;4053;4212;4633;5255;5528;6290;8244;1549;405
2303402;Carnaubal;CE;5,20;4,79;4,31;3,91;3,66;3,01;13605;14768;15218;15982;16733;17207;2617;3086;3530;4092;4568;5722;7406;1376;308
2303501;Cascavel;CE;4,68;4,36;4,14;3,69;3,51;2,87;46360;49890;56798;63642;65981;72689;9911;11445;13714;17230;18793;25306;34104;4668;4130
2303600;Catarina;CE;5,49;5,20;4,91;3,91;3,73;2,80;11879;12398;15501;16995;18733;10231;2163;2385;3158;4349;5020;3651;4898;974;273
2303659;Catunda;CE;;4,59;4,35;3,92;3,62;3,04;;8976;9269;10493;9946;10441;;1957;2132;2678;2747;3432;4207;606;169
2303709;Caucaia;CE;4,66;4,35;4,19;;3,64;2,94;164814;208678;248471;;324385;354944;35350;47969;59347;;89175;120668;159939;26211;13060
2303808;Cedro;CE;4,39;4,12;3,95;3,57;3,40;2,77;22922;23265;24019;24580;24490;22336;5220;5645;6078;6889;7212;8075;10454;1749;630
2303907;Chaval;CE;5,08;4,81;4,63;4,13;3,93;3,16;10549;11252;12046;12071;12576;12410;2078;2341;2599;2923;3201;3922;5023;878;223
2303931;Choró;CE;;4,86;4,64;4,19;3,91;3,03;;11427;11980;12714;12797;12110;;2351;2580;3034;3273;3997;5063;785;281
2303956;Chorozinho;CE;4,69;4,43;4,17;3,61;3,45;2,82;15421;15868;18707;18208;18843;20127;3288;3585;4482;5046;5459;7143;9203;1506;554
2304004;Coreaú;CE;4,68;4,45;4,25;3,91;3,70;2,98;17555;18979;19932;21109;21924;20944;3753;4263;4691;5400;5932;7031;9773;1985;757
2304103;Crateús;CE;4,48;4,10;3,86;3,52;3,35;2,81;66508;64967;70747;72085;72663;76232;14852;15831;18314;20461;21710;27119;34259;5260;1880
2304202;Crato;CE;4,70;4,39;4,22;3,71;3,57;2,93;89665;95073;104253;110845;121122;130823;19085;21655;24711;29864;33925;44610;56652;8536;3506
2304236;Croatá;CE;4,89;4,57;4,31;3,80;3,53;2,86;14873;15814;16039;17302;17048;17476;3040;3464;3724;4555;4833;6103;8481;2076;302
2304251;Cruz;CE;4,98;4,78;4,52;3,91;3,63;2,87;19821;17705;19768;22098;22418;29711;3980;3706;4375;5650;6179;10352;13749;2356;1041
2304269;Deputado Irapuan Pinheiro;CE;4,32;4,07;3,89;3,43;3,28;2,67;8428;7932;8354;9103;9073;8916;1951;1948;2148;2656;2762;3344;4048;524;180
2304277;Ereré;CE;4,81;4,61;4,49;3,94;3,62;2,88;6420;6094;6234;6905;6833;6473;1336;1323;1387;1754;1885;2248;2986;591;147
2304285;Eusébio;CE;4,89;4,53;4,34;3,79;3,61;2,95;20329;27103;31427;38107;45915;74084;4160;5983;7249;10054;12711;25105;29408;2838;1465
2304301;Farias Brito;CE;4,52;4,34;4,18;3,69;3,52;2,84;17622;19440;20251;19221;18994;18202;3902;4483;4849;5202;5396;6414;8651;1715;522
2304350;Forquilha;CE;4,61;4,34;4,17;3,70;3,53;2,98;15209;16587;17437;20148;21738;24162;3297;3825;4182;5441;6157;8102;9505;957;446
2304400;Fortaleza;CE;4,56;4,25;4,05;;3,44;2,82;1758538;1954656;2132077;;2444849;2424880;385789;459684;525991;;710066;860139;1033538;145307;28092
2304459;Fortim;CE;;4,39;4,24;3,71;3,55;2,91;;10972;11917;14045;14751;17253;;2497;2813;3786;4158;5938;7716;836;942
2304509;Frecheirinha;CE;4,48;4,31;4,15;3,67;3,46;2,89;9685;10811;11702;12780;12971;15651;2164;2507;2817;3482;3754;5420;7068;1371;277
2304608;General Sampaio;CE;4,98;4,77;4,59;4,50;3,95;3,06;5488;4838;4866;6536;6125;6701;1102;1014;1061;1453;1549;2193;3007;560;254
2304657;Graça;CE;4,77;4,59;4,35;3,82;3,52;2,86;14358;14366;14813;15275;15022;13801;3010;3133;3408;3995;4272;4832;6471;1200;439
2304707;Granja;CE;5,02;4,82;4,65;4,18;3,98;3,12;41409;43926;48275;51286;52481;53314;8256;9122;10376;12271;13199;17092;23687;4358;2237
2304806;Granjeiro;CE;5,10;4,87;4,73;4,14;3,95;3,14;4743;4878;5277;4909;4621;4840;930;1001;1116;1186;1171;1540;2018;380;98
2304905;Groaíras;CE;4,41;4,15;3,91;3,51;3,39;2,72;8068;8349;8716;9440;10210;10901;1828;2012;2230;2689;3009;4009;4890;684;197
2304954;Guaiúba;CE;4,87;4,68;4,45;3,92;3,76;3,13;17562;17047;19884;22382;24060;24310;3603;3645;4473;5708;6398;7757;9661;1336;568
2305001;Guaraciaba do Norte;CE;4,79;4,56;4,39;3,92;3,70;3,11;30243;31960;34962;36647;37743;41972;6314;7013;7962;9342;10207;13494;16994;2867;633
2305100;Guaramiranga;CE;4,98;4,86;4,70;4,18;3,87;2,94;5286;5489;5672;4224;4111;5639;1061;1129;1207;1011;1061;1916;3379;374;1089
2305209;Hidrolândia;CE;4,65;4,30;4,12;3,71;3,44;2,82;17896;16896;17667;18474;19300;17853;3849;3926;4289;4980;5608;6340;8327;1568;419
2305233;Horizonte;CE;4,69;4,44;4,19;3,69;3,51;2,92;18265;25378;33778;48568;55082;74670;3897;5717;8061;13145;15676;25611;31323;4740;972
2305266;Ibaretama;CE;4,81;4,62;4,43;3,97;3,74;2,97;11230;10821;12531;12673;12895;11946;2337;2342;2829;3189;3444;4021;5250;863;366
2305308;Ibiapina;CE;4,97;4,67;4,53;3,96;3,68;3,03;19982;20830;22108;23073;23777;23963;4017;4462;4880;5833;6454;7898;9713;1472;343
2305332;Ibicuitinga;CE;4,77;4,50;4,25;3,67;3,51;2,84;8584;8853;9376;10975;11288;11579;1798;1969;2205;2990;3213;4074;5163;860;229
2305357;Icapuí;CE;4,64;4,43;4,19;3,72;3,50;2,98;13347;15529;15916;17720;18285;21361;2877;3503;3795;4769;5222;7177;11011;1574;2260
2305407;Icó;CE;4,82;4,50;4,23;3,77;3,58;2,92;60271;58185;62350;63170;65348;62610;12512;12941;14736;16745;18235;21424;28809;5987;1398
2305506;Iguatu;CE;4,37;4,11;3,91;3,50;3,35;2,80;74772;78026;85288;91998;96359;97966;17098;19005;21817;26315;28784;34954;44063;6961;2148
2305605;Independência;CE;4,60;4,24;4,05;3,61;3,41;2,84;24025;23376;25236;25349;25529;24024;5223;5516;6226;7016;7497;8466;11378;2148;764
2305654;Ipaporanga;CE;4,45;4,14;3,95;3,49;3,25;2,69;10849;10987;11234;11346;11337;11566;2439;2657;2842;3249;3489;4296;5443;946;201
2305704;Ipaumirim;CE;4,56;4,24;4,06;3,57;3,39;2,96;11184;10870;11518;11510;11976;12057;2450;2563;2834;3223;3534;4072;5530;1144;314
2305803;Ipu;CE;4,60;4,35;4,13;3,76;3,56;2,95;35626;35218;38902;39352;40241;41062;7739;8087;9410;10459;11291;13935;17785;2972;878
2305902;Ipueiras;CE;4,66;4,36;4,21;3,73;3,46;2,77;35078;35690;38174;37996;37826;36790;7532;8179;9059;10188;10946;13285;18033;3925;823
2306009;Iracema;CE;4,83;4,38;4,05;3,73;3,44;2,92;13944;13458;13086;14242;13700;13999;2884;3075;3231;3821;3984;4795;6062;1025;242
2306108;Irauçuba;CE;5,30;4,92;4,65;4,23;3,99;3,26;17155;16734;19465;21881;22251;23909;3239;3404;4183;5172;5574;7330;9684;1630;724
2306207;Itaiçaba;CE;4,32;4,09;3,88;3,41;3,18;2,67;5659;6193;6538;7403;7261;7517;1309;1514;1687;2174;2285;2816;3937;658;463
2306256;Itaitinga;CE;;4,64;4,30;3,89;3,71;2,87;;25643;29019;30862;34500;55948;;5528;6741;7940;9297;19522;24401;3761;1118
2306306;Itapajé;CE;4,97;4,71;4,48;3,98;3,73;2,97;33540;37507;40972;45363;48257;46412;6746;7959;9154;11396;12924;15629;19431;2692;1110
2306405;Itapipoca;CE;5,07;4,78;4,58;4,08;3,87;3,15;76942;80099;94012;106991;115859;131041;15162;16741;20531;26195;29943;41579;53557;8101;3877
2306504;Itapiúna;CE;4,82;4,66;4,44;3,93;3,77;2,92;12838;14103;16208;17501;18588;17836;2665;3027;3653;4455;4931;6115;7545;1011;419
2306553;Itarema;CE;5,49;5,18;5,07;4,53;4,19;3,31;25483;25745;30247;34069;37217;42901;4638;4966;5964;7524;8880;12954;15818;2066;798
2306603;Itatira;CE;5,10;4,77;4,57;4,20;3,94;3,05;13838;14404;15541;17647;18872;20422;2714;3022;3400;4206;4787;6688;9282;1963;631
2306702;Jaguaretama;CE;4,71;4,33;4,16;3,68;3,45;2,85;17533;17296;18024;17811;17813;17222;3720;3994;4336;4838;5162;6050;7147;788;309
2306801;Jaguaribara;CE;4,74;4,51;4,25;3,88;3,64;3,07;7699;7887;8713;9685;10235;10333;1624;1749;2049;2493;2814;3361;4256;648;247
2306900;Jaguaribe;CE;4,58;4,29;4,12;3,62;3,39;2,72;32274;32712;34801;35123;34340;33708;7047;7629;8449;9696;10138;12399;15432;2247;786
2307007;Jaguaruana;CE;4,51;4,32;4,06;3,55;3,34;2,70;25864;28289;29647;30888;32161;31670;5730;6548;7302;8692;9617;11726;14403;1709;968
2307106;Jardim;CE;5,07;4,82;4,70;4,17;3,90;3,13;23888;24971;26780;25829;26646;27407;4713;5180;5698;6189;6828;8745;11451;2114;592
2307205;Jati;CE;4,80;4,47;4,16;3,74;3,50;2,99;6834;6750;7245;7247;7632;7846;1425;1511;1742;1940;2181;2620;3458;648;190
2307254;Jijoca de Jericoacoara;CE;;4,86;4,47;3,83;3,52;2,90;;9699;11973;15246;16656;25472;;1997;2677;3980;4732;8795;11464;1819;850
2307304;Juazeiro do Norte;CE;4,66;4,43;4,22;;3,60;2,92;172652;188304;211094;;248891;284413;37055;42526;50021;;69151;97385;113003;12901;2717
2307403;Jucás;CE;4,63;4,39;4,23;3,71;3,51;2,90;21079;20656;22584;22872;23760;23871;4552;4702;5337;6164;6760;8224;10534;1903;407
2307502;Lavras da Mangabeira;CE;4,69;4,43;4,24;3,72;3,59;2,94;30645;30903;31318;29834;31018;30785;6531;6968;7379;8030;8640;10477;13398;2065;856
2307601;Limoeiro do Norte;CE;4,53;4,19;3,94;3,47;3,27;2,78;41226;44880;49295;53066;56112;59494;9110;10706;12497;15280;17143;21437;26905;3901;1567
2307635;Madalena;CE;4,76;4,64;4,41;3,93;3,76;3,01;12629;13828;14795;16951;17999;16874;2654;2979;3356;4313;4791;5603;7085;1087;395
2307650;Maracanaú;CE;5,04;4,47;4,24;;3,61;2,94;156887;159532;179168;;208780;234327;31142;35678;42232;;57890;79675;95347;13461;2211
2307700;Maranguape;CE;5,00;4,72;4,42;4,08;3,91;2,99;71388;81613;87758;102004;113211;104983;14289;17277;19868;25027;28984;35066;42035;5098;1871
2307809;Marco;CE;5,56;5,00;4,86;4,30;4,12;3,39;20624;18352;20218;23081;24509;25730;3711;3673;4156;5373;5952;7594;9512;1595;323
2307908;Martinópole;CE;4,68;4,43;4,35;4,03;3,77;2,93;6440;7305;8602;10289;10189;10844;1376;1650;1977;2555;2706;3698;4720;668;354
2308005;Massapê;CE;4,89;4,66;4,49;4,04;3,80;3,05;23655;25490;29527;33152;35144;37679;4839;5470;6575;8201;9247;12335;15318;2054;929
2308104;Mauriti;CE;5,11;4,79;4,50;4,00;3,80;3,06;37100;38162;42314;41579;44167;45515;7262;7972;9406;10388;11637;14873;19586;3650;1063
2308203;Meruoca;CE;5,06;4,79;4,58;4,01;3,90;3,14;10432;10739;11274;12068;13626;15142;2060;2241;2464;3008;3496;4824;7123;1036;1263
2308302;Milagres;CE;4,85;4,63;4,42;3,85;3,61;2,96;24121;24123;26883;27249;28262;25874;4971;5212;6082;7082;7835;8755;11317;1911;651
2308351;Milhã;CE;4,36;4,19;4,02;3,72;3,40;3,02;12008;12078;12997;14103;13058;14094;2751;2884;3236;3792;3837;4660;5779;894;225
2308377;Miraíma;CE;4,93;4,81;4,61;4,16;3,95;3,33;10038;10557;11417;12123;12790;14190;2038;2196;2476;2912;3237;4259;5215;687;269
2308401;Missão Velha;CE;4,84;4,60;4,52;3,97;3,77;3,11;29152;29464;32185;33654;34206;36800;6026;6399;7128;8480;9063;11841;15775;2907;1027
2308500;Mombaça;CE;4,71;4,35;4,19;3,83;3,56;2,76;40808;39351;41101;44292;42561;37704;8664;9051;9804;11556;11965;13653;19067;4430;984
2308609;Monsenhor Tabosa;CE;4,73;4,40;4,16;3,70;3,50;2,94;15499;15445;16288;16537;16689;17148;3280;3511;3916;4472;4764;5827;7828;1711;290
2308708;Morada Nova;CE;4,76;4,41;4,19;3,62;3,40;2,71;58572;60100;64084;61559;61921;61383;12304;13623;15299;17010;18225;22663;28709;4352;1694
2308807;Moraújo;CE;4,83;4,65;4,47;4,01;3,80;3,05;6269;6664;7029;7984;8062;8254;1299;1432;1574;1991;2121;2710;3642;568;364
2308906;Morrinhos;CE;5,07;4,85;4,67;4,08;3,88;3,12;14500;15700;17911;21065;20682;22732;2861;3238;3833;5160;5336;7285;9365;1597;483
2309003;Mucambo;CE;4,53;4,26;4,08;3,53;3,34;2,74;11940;12456;13690;13985;14095;13663;2635;2926;3358;3966;4226;4994;6618;1180;444
2309102;Mulungu;CE;4,64;4,48;4,47;4,06;3,91;3,17;7833;8183;8871;10956;11459;10568;1688;1826;1985;2701;2928;3332;4453;496;625
2309201;Nova Olinda;CE;4,95;4,53;4,30;3,74;3,58;2,97;11269;11226;11993;12939;14237;15390;2277;2476;2788;3461;3981;5178;6721;1084;459
2309300;Nova Russas;CE;4,58;4,17;3,91;3,56;3,32;2,82;37779;29387;29294;30587;30900;30617;8252;7053;7493;8582;9297;10843;13648;2390;415
2309409;Novo Oriente;CE;4,75;4,24;4,04;3,67;3,43;2,80;26307;25429;26069;27385;27407;27530;5537;5999;6459;7466;8002;9816;12661;2292;553
2309458;Ocara;CE;4,98;4,73;4,35;3,80;3,53;2,78;19805;20217;21043;23242;23925;24476;3974;4273;4842;6113;6779;8790;12118;2362;966
2309508;Orós;CE;4,40;4,02;3,86;3,43;3,26;2,74;21977;21300;21968;21222;21346;19661;4998;5294;5696;6191;6551;7171;9097;1439;487
2309607;Pacajus;CE;4,68;4,39;4,22;3,75;3,51;2,95;31719;36970;43781;54400;61758;70965;6784;8428;10373;14493;17587;24053;30233;5039;1141
2309706;Pacatuba;CE;4,80;4,50;4,28;4,05;3,86;2,98;59894;43532;51579;65426;72165;80770;12489;9676;12047;16157;18713;27103;32163;3883;1177
2309805;Pacoti;CE;4,89;4,80;4,55;4,07;3,79;3,05;10058;10947;10884;11078;11576;11155;2056;2281;2390;2719;3054;3663;4843;656;524
2309904;Pacujá;CE;4,60;4,33;4,17;3,59;3,41;2,81;4989;5337;5628;5929;5969;6169;1085;1233;1349;1650;1749;2199;2793;368;226
2310001;Palhano;CE;4,86;4,64;4,32;3,72;3,39;2,87;7893;7704;8134;8757;8858;9343;1624;1660;1884;2351;2611;3256;4249;583;410
2310100;Palmácia;CE;4,93;4,76;4,36;4,00;3,89;3,03;10224;9863;9841;10288;11978;10234;2074;2072;2256;2573;3082;3378;4283;615;290
2310209;Paracuru;CE;4,76;4,46;4,41;3,83;3,62;3,00;20831;22506;27359;30527;31486;38949;4375;5046;6205;7979;8699;12982;20178;3346;3850
2310258;Paraipaba;CE;5,13;4,65;4,44;3,89;3,66;2,98;19725;20754;25195;28101;29914;32149;3843;4461;5677;7224;8184;10786;14291;2147;1358
2310308;Parambu;CE;4,91;4,47;4,19;3,75;3,48;2,82;29970;30875;32187;30515;31257;31394;6107;6912;7676;8141;8974;11134;15344;3294;916
2310407;Paramoti;CE;4,86;4,59;4,32;4,07;3,75;2,91;10440;11249;10934;11551;11276;10365;2148;2451;2533;2837;3010;3566;5031;1193;272
2310506;Pedra Branca;CE;4,69;4,34;4,09;3,75;3,51;2,82;38718;37763;40588;40703;41847;40164;8250;8708;9926;10863;11933;14235;18645;3382;1028
2310605;Penaforte;CE;4,97;4,59;4,25;3,71;3,58;3,07;6423;6206;7012;7714;8196;8955;1293;1351;1649;2081;2289;2919;3976;729;328
2310704;Pentecoste;CE;4,94;4,42;4,37;3,84;3,58;2,97;32228;28621;32423;33665;35328;37763;6520;6470;7426;8767;9858;12719;16680;2841;1120
2310803;Pereiro;CE;4,92;4,61;4,43;3,86;3,61;2,89;14779;13846;15211;15054;15737;15273;3001;3002;3435;3896;4354;5281;7358;1566;511
2310852;Pindoretama;CE;4,77;4,53;4,22;3,72;3,48;2,92;12428;13451;14793;17086;18608;23371;2603;2969;3507;4596;5341;7999;10570;1579;992
2310902;Piquet Carneiro;CE;4,43;4,01;3,77;3,47;3,48;2,90;13097;12747;13108;14712;15422;16609;2957;3175;3473;4240;4437;5737;7196;1008;451
2310951;Pires Ferreira;CE;4,64;4,50;4,15;3,81;3,66;3,25;9465;10452;8629;9467;10211;10591;2039;2321;2080;2486;2788;3261;3908;580;67
2311009;Poranga;CE;4,86;4,53;4,24;3,74;3,53;2,86;11051;11379;11737;11791;11987;12065;2273;2511;2766;3149;3398;4214;6061;1502;345
2311108;Porteiras;CE;4,97;4,74;4,38;3,84;3,63;3,06;15023;15132;15594;14775;15052;17049;3022;3193;3557;3846;4148;5565;7017;1122;330
2311207;Potengi;CE;4,59;4,39;4,27;3,66;3,63;2,82;8143;8303;9195;9639;10259;8832;1775;1891;2155;2631;2828;3133;4335;898;304
2311231;Potiretama;CE;4,85;4,53;4,13;3,84;3,58;2,80;5766;5787;5768;6428;6103;5965;1190;1277;1395;1674;1705;2131;2810;558;121
2311264;Quiterianópolis;CE;4,89;4,45;4,19;3,68;3,48;2,91;17299;17698;18345;20044;19915;20209;3541;3981;4378;5454;5722;6944;9340;1827;569
2311306;Quixadá;CE;4,65;4,48;4,24;3,79;3,63;2,90;72050;64204;69337;75556;80251;84026;15507;14330;16350;19924;22124;28971;36296;4611;2714
2311355;Quixelô;CE;4,51;4,17;3,93;3,48;3,22;2,72;15655;15057;15576;15678;14978;15904;3468;3615;3961;4503;4652;5839;7410;1330;241
2311405;Quixeramobim;CE;4,64;4,31;4,09;3,70;3,50;2,87;58904;56328;59049;68628;71585;82027;12687;13079;14420;18570;20476;28609;34151;4157;1385
2311504;Quixeré;CE;4,36;4,10;3,96;3,49;3,30;2,69;13787;15217;16762;18612;19371;20860;3161;3711;4230;5331;5877;7743;10066;1531;792
2311603;Redenção;CE;4,62;4,31;4,25;3,75;3,56;2,98;22668;21871;24925;25647;26340;27191;4911;5076;5858;6837;7392;9138;12079;1857;1084
2311702;Reriutaba;CE;4,49;4,32;4,13;3,64;3,48;2,83;17281;20098;21154;19270;19437;18602;3850;4649;5124;5299;5581;6583;8470;1339;548
2311801;Russas;CE;4,63;4,37;4,15;3,62;3,42;2,76;46417;51482;57111;63771;69705;72844;10034;11772;13764;17626;20411;26409;34608;5599;2600
2311900;Saboeiro;CE;4,71;4,57;4,28;3,72;3,49;2,81;15444;16325;16212;16225;15746;13830;3278;3571;3789;4363;4507;4926;7000;1673;401
2311959;Salitre;CE;5,07;4,69;4,49;4,02;3,93;3,09;12610;12420;13725;15784;15437;16609;2489;2649;3056;3926;3930;5367;7079;1267;445
2312007;Santana do Acaraú;CE;5,27;5,00;4,79;4,18;3,98;3,17;22405;25440;26081;28526;29921;30599;4251;5088;5444;6817;7522;9656;11902;1677;569
2312106;Santana do Cariri;CE;4,87;4,71;4,55;4,07;3,80;3,01;15337;16281;16577;17523;17138;16938;3147;3454;3646;4309;4510;5630;8007;1475;902
2312205;Santa Quitéria;CE;4,90;4,59;4,40;3,84;3,61;2,87;49241;39317;42237;42886;42712;40160;10051;8573;9600;11159;11841;13977;17511;2752;782
2312304;São Benedito;CE;4,92;4,63;4,42;3,86;3,65;3,05;36602;37692;39769;42956;44118;47604;7435;8136;9001;11119;12101;15616;19448;3232;600
2312403;São Gonçalo do Amarante;CE;4,74;4,47;4,24;3,78;3,64;3,01;29182;32600;35239;40108;43780;54096;6162;7286;8319;10604;12011;17957;27205;4993;4255
2312502;São João do Jaguaribe;CE;4,02;3,73;3,55;3,27;3,06;2,47;7988;8340;8650;8291;7887;5855;1989;2237;2438;2535;2578;2371;3568;1038;159
2312601;São Luís do Curu;CE;4,78;4,23;4,08;3,60;3,44;2,79;10451;10842;11486;12027;12301;10788;2188;2561;2812;3344;3578;3865;5259;1122;272
2312700;Senador Pompeu;CE;4,38;4,07;3,92;3,49;3,32;2,71;26521;25088;27124;25199;26433;24241;6054;6161;6923;7222;7953;8958;11732;1489;1285
2312809;Senador Sá;CE;4,98;4,63;4,35;3,91;3,75;2,99;5158;5490;5572;6265;6843;7253;1036;1186;1280;1604;1824;2426;3261;595;240
2312908;Sobral;CE;4,87;4,56;4,37;;3,71;2,96;126756;138020;154583;;187372;201456;26014;30293;35396;;50520;68018;84126;11391;4717
2313005;Solonópole;CE;4,37;4,09;3,94;3,51;3,33;2,76;15786;16166;16835;17304;17601;18172;3615;3948;4273;4926;5292;6590;8197;1141;466
2313104;Tabuleiro do Norte;CE;4,35;4,02;3,82;3,35;3,19;2,61;24879;26566;26967;28176;29123;30629;5725;6615;7059;8423;9121;11737;15309;2567;1005
2313203;Tamboril;CE;4,96;4,87;4,35;3,94;3,68;2,88;26180;27224;25923;25411;25429;24798;5278;5585;5964;6449;6919;8624;10984;1944;416
2313252;Tarrafas;CE;4,94;4,17;4,25;3,69;3,58;2,82;10058;7848;9181;8731;8900;7514;2034;1884;2158;2366;2488;2661;3748;857;230
2313302;Tauá;CE;4,70;4,26;4,11;3,65;3,42;2,90;51259;50090;51817;54044;55612;61174;10910;11755;12605;14805;16256;21105;27030;4430;1495
2313351;Tejuçuoca;CE;5,32;4,81;4,56;4,04;3,92;3,05;11779;11286;13504;15034;16796;17104;2216;2347;2964;3725;4289;5603;7675;1558;514
2313401;Tianguá;CE;4,85;4,62;4,45;3,98;3,77;3,17;43806;49173;57950;64473;68736;81434;9030;10654;13032;16183;18220;25654;32504;4988;1862
2313500;Trairi;CE;5,08;4,91;4,68;4,05;3,84;3,09;36274;39208;44413;48501;51301;58373;7147;7992;9496;11963;13366;18908;25898;3801;3189
2313559;Tururu;CE;4,97;4,72;4,48;3,93;3,77;3,04;9849;10625;11472;13340;14399;15411;1983;2249;2561;3397;3819;5077;7209;1513;619
2313609;Ubajara;CE;4,78;4,59;4,27;3,78;3,63;3,12;23268;26061;26966;29481;31686;32745;4863;5679;6313;7791;8736;10508;13409;2123;778
2313708;Umari;CE;4,99;4,59;4,22;3,74;3,49;2,85;7768;7535;7427;7561;7525;6862;1558;1641;1758;2021;2155;2406;3135;455;274
2313757;Umirim;CE;5,08;4,77;4,61;4,15;3,94;3,08;15291;15249;17310;18162;18769;17446;3013;3195;3758;4381;4769;5656;7572;1337;579
2313807;Uruburetama;CE;4,86;4,86;4,51;4,02;3,77;3,15;13503;15339;16379;19155;19699;20187;2778;3157;3632;4763;5222;6399;7956;1164;393
2313906;Uruoca;CE;4,90;4,50;4,32;3,94;3,63;2,95;10197;10103;11479;12967;12859;13741;2083;2244;2656;3293;3547;4664;5930;889;377
2313955;Varjota;CE;4,68;4,40;4,38;3,84;3,60;2,96;13418;14236;16554;17073;17561;18089;2865;3237;3776;4448;4877;6118;7482;1128;236
2314003;Várzea Alegre;CE;4,38;4,13;3,99;3,53;3,32;2,77;31064;32847;34780;37682;38364;38961;7096;7951;8712;10684;11541;14046;17829;2807;976
2314102;Viçosa do Ceará;CE;5,04;4,80;4,76;4,29;4,05;3,27;40809;43056;45334;52741;54931;59700;8099;8979;9533;12303;13562;18273;22744;2997;1474
2400109;Acari;RN;4,51;4,21;3,99;3,57;3,34;2,77;10930;10895;11120;10851;10992;10556;2424;2588;2786;3037;3293;3810;4743;486;447
